Region,Year,Total
Northland Region,2013,151689
Northland Region,2018,179076
Northland Region,2023,194007
Auckland Region,2013,1415550
Auckland Region,2018,1571718
Auckland Region,2023,1656486
Waikato Region,2013,403641
Waikato Region,2018,458202
Waikato Region,2023,498771
Bay of Plenty Region,2013,267741
Bay of Plenty Region,2018,308499
Bay of Plenty Region,2023,334140
Gisborne Region,2013,43653
Gisborne Region,2018,47517
Gisborne Region,2023,51135
Hawke's Bay Region,2013,151179
Hawke's Bay Region,2018,166368
Hawke's Bay Region,2023,175074
Taranaki Region,2013,109608
Taranaki Region,2018,117561
Taranaki Region,2023,126015
Manawatū-Whanganui Region,2013,222672
Manawatū-Whanganui Region,2018,238797
Manawatū-Whanganui Region,2023,251412
Wellington Region,2013,471315
Wellington Region,2018,506814
Wellington Region,2023,520971
Tasman Region,2013,47157
Tasman Region,2018,52389
Tasman Region,2023,57807
Nelson Region,2013,46437
Nelson Region,2018,50880
Nelson Region,2023,52584
Marlborough Region,2013,43416
Marlborough Region,2018,47340
Marlborough Region,2023,49431
West Coast Region,2013,32148
West Coast Region,2018,31575
West Coast Region,2023,33390
Canterbury Region,2013,539433
Canterbury Region,2018,599694
Canterbury Region,2023,651027
Otago Region,2013,202470
Otago Region,2018,225186
Otago Region,2023,240900
Southland Region,2013,93342
Southland Region,2018,97467
Southland Region,2023,100143
